open_strip_mean_max,open_flow_peak_min,close_strip_mean_max,close_flow_peak_min,window_s,min_active_s,min_inactive_s,real_delivery_active_frac,ad_active_frac,replay_active_frac,noise_active_frac,score
0.15,35,0.25,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.15,35,0.25,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.15,35,0.25,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.15,35,0.275,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.15,35,0.275,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.15,35,0.275,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.15,35,0.3,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.15,35,0.3,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.15,35,0.3,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.15,40,0.2,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.2,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.2,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.225,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.225,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.225,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.25,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.25,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.25,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.275,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.275,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.275,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.3,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.3,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,40,0.3,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.2,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.2,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.2,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.225,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.225,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.225,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.25,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.25,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.25,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.275,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.275,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.275,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.3,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.3,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,45,0.3,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.2,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.2,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.2,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.225,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.225,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.225,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.25,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.25,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.25,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.275,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.275,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.275,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.3,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.3,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.15,50,0.3,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,30,0.25,25,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.25,20,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.25,15,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.275,25,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.275,20,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.275,15,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.3,25,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.3,20,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.3,15,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.325,25,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.325,20,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.325,15,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.35,25,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.35,20,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,30,0.35,15,10.0,1.5,3.0,0.0,0.0,0.002,0.0,0.0
0.2,35,0.25,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.25,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.25,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.275,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.275,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.275,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.3,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.3,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.3,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.325,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.325,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.325,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.35,30,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.35,25,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,35,0.35,20,10.0,1.5,3.0,0.0,0.0,0.0017,0.0,0.0
0.2,40,0.25,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.25,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.25,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.275,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.275,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.275,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.3,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.3,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.3,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.325,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.325,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.325,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.35,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.35,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,40,0.35,25,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.25,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.25,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.25,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.275,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.275,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.275,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.3,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.3,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.3,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.325,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.325,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.325,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.35,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.35,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,45,0.35,30,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.25,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.25,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.25,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.275,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.275,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.275,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.3,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.3,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.3,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.325,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.325,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.325,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.35,45,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.35,40,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
0.2,50,0.35,35,10.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
